group	filename	title	url	pages	bytes	sha256	status
00-surveys	2023_CoALA_Cognitive_Architectures_for_Language_Agents.pdf	Cognitive Architectures for Language Agents	https://arxiv.org/pdf/2309.02427	32	2785564	fd93d2ef1b94f963b652136b8c792b01d7326d861f5ce918926c043934a48dbe	verified
00-surveys	2024_Two_Tales_of_Persona_in_LLMs.pdf	Two Tales of Persona in LLMs	https://aclanthology.org/2024.findings-emnlp.969.pdf	20	2934089	4afb9bcd1ba54d0b31141006b18b5eb1802cca3331db366a24a53f07e30a291e	verified
00-surveys	2024_Survey_Memory_Mechanism_LLM_Agents.pdf	A Survey on the Memory Mechanism of Large Language Model based Agents	https://arxiv.org/pdf/2404.13501	39	2040345	aae2f9537f748f30f0ca59fd66c499b7df7bdb199d24ce43cab0a6170f7dceef	verified
00-surveys	2025_Survey_Personalized_Alignment.pdf	A Survey on Personalized Alignment	https://arxiv.org/pdf/2503.17003	21	1245272	e7c65d9266e1bd019520ec35f28855d1f06702b744962a414abcc6737e358033	verified
00-surveys	2026_Toward_Personalized_LLM_Powered_Agents.pdf	Toward Personalized LLM-Powered Agents	https://arxiv.org/pdf/2602.22680	35	2018354	cb95375b890d363a14648b3924167029ebc96295205a8e5a41317630b0570dda	verified
00-surveys	2026_From_Storage_to_Experience.pdf	From Storage to Experience	https://arxiv.org/pdf/2605.06716	31	1152256	7d682f57992ca059e499a655b4d90b0f3233cfd57dc0992e122b052d17a9b714	verified
01-memory-provenance	2022_BEGIN_Attribution_in_Dialogue.pdf	Evaluating Attribution in Dialogue Systems: The BEGIN Benchmark	https://aclanthology.org/2022.tacl-1.62.pdf	18	754918	8c6c1a1d59c94f03ba5af4e6b14359da8e8f26587b0b9d5ee38ab0104cc5b099	verified
01-memory-provenance	2023_MemGPT.pdf	MemGPT: Towards LLMs as Operating Systems	https://arxiv.org/pdf/2310.08560	13	663708	9f674bcff69c86f11c813dcfad613d8841f5f8ed17979e3c4df06a91df7762e0	verified
01-memory-provenance	2024_LoCoMo.pdf	Evaluating Very Long-Term Conversational Memory of LLM Agents	https://aclanthology.org/2024.acl-long.747.pdf	20	1498274	b258c5436f778e05686646a745f270f0b33e31eb7c8268d8c3c651b217667b3a	verified
01-memory-provenance	2024_LongMemEval.pdf	LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory	https://arxiv.org/pdf/2410.10813	28	749169	05c5d055201466a241a56e082cdd02d39ad566fa04b3804891983e4e069a3fda	verified
01-memory-provenance	2025_Zep_Temporal_Knowledge_Graph.pdf	Zep: A Temporal Knowledge Graph Architecture for Agent Memory	https://arxiv.org/pdf/2501.13956	12	148771	d26f7eb599540e8b14d75e7efda58a07661abbb1b864e58323b5768475a15d42	verified
01-memory-provenance	2025_Mem0.pdf	Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory	https://arxiv.org/pdf/2504.19413	23	1144031	bec870b657aa73405275a6d8fe27bcd4271799e028bc62986ab9c4cd27a3712d	verified
01-memory-provenance	2025_Reflective_Memory_Management.pdf	In Prospect and Retrospect: Reflective Memory Management	https://aclanthology.org/2025.acl-long.413.pdf	24	723842	a84e9c5c400566c24a51c5041a27123a66c03ddc8c286faefd3b5a457ab9a021	verified
01-memory-provenance	2026_Inside_Out_PersonaTree.pdf	Inside Out: Evolving User-Centric Core Memory Trees	https://aclanthology.org/2026.acl-long.614.pdf	18	14397598	39eb485db0860063dfefe8ba0600df142008a2fe7986ff2ce3faadff9b224dd4	verified
01-memory-provenance	2026_PersonaAgent.pdf	PersonaAgent: Bridging Memory and Action	https://aclanthology.org/2026.findings-acl.1315.pdf	19	1568649	d82d76998d3651ffeaf992a506e67972a1a85b94db06473ab6013676a319d5a7	verified
01-memory-provenance	2026_KnowMe_Bench.pdf	KnowMe-Bench: Benchmarking Person Understanding	https://aclanthology.org/2026.acl-long.1394.pdf	25	6310445	d582ab59af4d1989ac9a4e0d951e4474eadd387ddd376cf8a18f034ead1a487d	verified
